V1	V2
LCO_Ele_Nuc	1
LCO_Ele_SolarPV_Mar	1
LCO_Ele_SolarPV_Ave	1
LCO_Ele_Win_Ons_Ave	1
LCO_Ele_Win_Off_Ave	1
LCO_Ele_Bio_w_CCS	1
LCO_Ele_Bio_wo_CCS	1
Fin_Ene_Res_Liq_and_Gas	1
Fin_Ene_Ind_Liq_and_Gas	1
Fin_Ene_Tra_Liq_and_Gas	1
Fin_Ene_Com_Liq_and_Gas	1
Sec_Ene_Heat_Bio	1
Sec_Ene_Heat_Coa	1
Sec_Ene_Heat_Gas	1
Sec_Ene_Heat_Geo	1
Sec_Ene_Heat_Nuc	1
Sec_Ene_Inp_Gas_Nat_Gas_DAC	1
Sec_Ene_Inp_Ele_DAC	1
Sec_Ene_Inp_Bio_Ele_Heat	1
Sec_Ene_Inp_Coa_Ele_Heat	1
Sec_Ene_Inp_Gas_Ele_Heat	1
Sec_Ene_Inp_Oil_Ele_Heat	1
Sec_Ene_Inp_Coa_Bla_Fur	1
Sec_Ene_Inp_Hyd_Ele	1
Ene_Its	1
Pop_Mor_AP_PM25	1
Pop_Mor_AP_Ozo	1
Pop_Mor_AP	1
Con_PM25_Pop_Wei	1
Pop_Ext_pov	1
Ele_rat_Ele	1
Sha_NonBioRen_Ene_Prm_Ene	1
Sha_NonBioRen_Ene_Sec_Ene_Ele_Heat	1
Sha_NonBioRen_Ene_Sec_Ene_Ele	1
