V1	V2	V3
Emi_CO2_Ene_and_Ind_Pro	Emissions|CO2|Energy and Industrial Processes	Mt CO2/yr
Fin_Ene	Final Energy	EJ/yr
GDP_MER	GDP|MER	billion US$2010/yr
POP	Population	Million
Prc_Car	Price|Carbon	US$2010/t CO2
Prc_Prm_Ene_Oil	Price|Primary Energy|Oil	US$2010/GJ
Prc_Sec_Ene_Ele	Price|Secondary Energy|Electricity	US$2010/GJ
Prm_Ene	Primary Energy	EJ/yr
Prm_Ene_Bio	Primary Energy|Biomass	EJ/yr
Prm_Ene_Coa	Primary Energy|Coal	EJ/yr
Prm_Ene_Fos	Primary Energy|Fossil	EJ/yr
Prm_Ene_Fos_w_CCS	Primary Energy|Fossil|w/ CCS	EJ/yr
Prm_Ene_Fos_wo_CCS	Primary Energy|Fossil|w/o CCS	EJ/yr
Prm_Ene_Gas	Primary Energy|Gas	EJ/yr
Prm_Ene_NonBioRen	Primary Energy|Non-Biomass Renewables	EJ/yr
Prm_Ene_Nuc	Primary Energy|Nuclear	EJ/yr
Prm_Ene_Oil	Primary Energy|Oil	EJ/yr
Prm_Ene_Oth	Primary Energy|Other	EJ/yr
Sec_Ene_Ele	Secondary Energy|Electricity	EJ/yr
Sec_Ene_Ele_Bio	Secondary Energy|Electricity|Biomass	EJ/yr
Sec_Ene_Ele_Coa	Secondary Energy|Electricity|Coal	EJ/yr
Sec_Ene_Ele_Gas	Secondary Energy|Electricity|Gas	EJ/yr
Sec_Ene_Ele_NonBioRen	Secondary Energy|Electricity|Non-Biomass Renewables	EJ/yr
Sec_Ene_Ele_Nuc	Secondary Energy|Electricity|Nuclear	EJ/yr
Sec_Ene_Ele_Oil	Secondary Energy|Electricity|Oil	EJ/yr
Sec_Ene_Ele_Oth	Secondary Energy|Electricity|Other	EJ/yr
Sec_Ene_Liq	Secondary Energy|Liquids	EJ/yr
Pol_Cos_Add_Tot_Ene_Sys_Cos	Policy Cost|Additional Total Energy System Cost	billion US$2010/yr
Pol_Cos_Are_und_MAC_Cur	Policy Cost|Area under MAC Curve	billion US$2010/yr
Pol_Cos_Cns_Los	Policy Cost|Consumption Loss	billion US$2010/yr
Pol_Cos_Equ_Var	Policy Cost|Equivalent Variation	billion US$2010/yr
Pol_Cos_GDP_Los	Policy Cost|GDP Loss	billion US$2010/yr
Pol_Cos_Oth	Policy Cost|Other	billion US$2010/yr
Cnc_CO2	Concentration|CO2	ppm
CNS	Consumption	billion US$2010/yr
Car_Seq_CCS	Carbon Sequestration|CCS	Mt CO2/yr
Emi_F_G	Emissions|F-Gases	Mt CO2-equiv/yr
Fin_Ene_Ele	Final Energy|Electricity	EJ/yr
Fin_Ene_Gas	Final Energy|Gases	EJ/yr
Fin_Ene_Geo	Final Energy|Geothermal	EJ/yr
Fin_Ene_Heat	Final Energy|Heat	EJ/yr
Fin_Ene_Hyd	Final Energy|Hydrogen	EJ/yr
Fin_Ene_Ind	Final Energy|Industry	EJ/yr
Fin_Ene_Ind_Ele	Final Energy|Industry|Electricity	EJ/yr
Fin_Ene_Ind_Gas	Final Energy|Industry|Gases	EJ/yr
Fin_Ene_Ind_Heat	Final Energy|Industry|Heat	EJ/yr
Fin_Ene_Ind_Hyd	Final Energy|Industry|Hydrogen	EJ/yr
Fin_Ene_Ind_Liq	Final Energy|Industry|Liquids	EJ/yr
Fin_Ene_Ind_Oth	Final Energy|Industry|Other	EJ/yr
Fin_Ene_Ind_Solids	Final Energy|Industry|Solids	EJ/yr
Fin_Ene_Liq	Final Energy|Liquids	EJ/yr
Fin_Ene_Oth	Final Energy|Other	EJ/yr
Fin_Ene_Oth_Sec	Final Energy|Other Sector	EJ/yr
Fin_Ene_Res_and_Com	Final Energy|Residential and Commercial	EJ/yr
Fin_Ene_Res_and_Com_Ele	Final Energy|Residential and Commercial|Electricity	EJ/yr
Fin_Ene_Res_and_Com_Gas	Final Energy|Residential and Commercial|Gases	EJ/yr
Fin_Ene_Res_and_Com_Heat	Final Energy|Residential and Commercial|Heat	EJ/yr
Fin_Ene_Res_and_Com_Hyd	Final Energy|Residential and Commercial|Hydrogen	EJ/yr
Fin_Ene_Res_and_Com_Liq	Final Energy|Residential and Commercial|Liquids	EJ/yr
Fin_Ene_Res_and_Com_Oth	Final Energy|Residential and Commercial|Other	EJ/yr
Fin_Ene_Res_and_Com_Solids	Final Energy|Residential and Commercial|Solids	EJ/yr
Fin_Ene_Solar	Final Energy|Solar	EJ/yr
Fin_Ene_Solids	Final Energy|Solids	EJ/yr
Fin_Ene_Tra	Final Energy|Transportation	EJ/yr
Fin_Ene_Tra_Ele	Final Energy|Transportation|Electricity	EJ/yr
Fin_Ene_Tra_Gas	Final Energy|Transportation|Gases	EJ/yr
Fin_Ene_Tra_Hyd	Final Energy|Transportation|Hydrogen	EJ/yr
Fin_Ene_Tra_Liq	Final Energy|Transportation|Liquids	EJ/yr
Fin_Ene_Tra_Liq_Bio	Final Energy|Transportation|Liquids|Biomass	EJ/yr
Fin_Ene_Tra_Liq_Coa	Final Energy|Transportation|Liquids|Coal	EJ/yr
Fin_Ene_Tra_Liq_Nat_Gas	Final Energy|Transportation|Liquids|Natural Gas	EJ/yr
Fin_Ene_Tra_Liq_Oil	Final Energy|Transportation|Liquids|Oil	EJ/yr
Fin_Ene_Tra_Oth	Final Energy|Transportation|Other	EJ/yr
Frc	Forcing	W/m2
Frc_AN3	Forcing|AN3A	W/m2
Frc_CO2	Forcing|CO2	W/m2
GDP_PPP	GDP|PPP	billion US$2010/yr
Inv_Ene_Dem_Eff_and_Dec	Investment|Energy Demand|Efficiency and Decarbonization	billion US$2010/yr
Inv_Ene_Dem_Ind_Eff_and_Dec	Investment|Energy Demand|Industry|Efficiency and Decarbonization	billion US$2010/yr
Inv_Ene_Dem_Res_and_Com_Eff_and_Dec	Investment|Energy Demand|Residential and Commercial|Efficiency and Decarbonization	billion US$2010/yr
Inv_Ene_Dem_Tra_Eff_and_Dec	Investment|Energy Demand|Transportation|Efficiency and Decarbonization	billion US$2010/yr
Inv_Ene_Sup	Investment|Energy Supply	billion US$2010/yr
Inv_Ene_Sup_Ele	Investment|Energy Supply|Electricity	billion US$2010/yr
Lan_Cov	Land Cover	million ha
Lan_Cov_Bui_Are	Land Cover|Built-up Area	million ha
Lan_Cov_Cro	Land Cover|Cropland	million ha
Lan_Cov_Cro_Irr	Land Cover|Cropland|Irrigated	million ha
Lan_Cov_Cro_Ene_Cro	Land Cover|Cropland|Energy Crops	million ha
Lan_Cov_Cro_Ene_Cro_Irr	Land Cover|Cropland|Energy Crops|Irrigated	million ha
Lan_Cov_Frs	Land Cover|Forest	million ha
Lan_Cov_Frs_Aff_and_Ref	Land Cover|Forest|Afforestation and Reforestation	million ha
Lan_Cov_Frs_Frs	Land Cover|Forest|Forestry	million ha
Lan_Cov_Frs_Frs_Har_Are	Land Cover|Forest|Forestry|Harvested Area	million ha
Lan_Cov_Frs_Nat_Frs	Land Cover|Forest|Natural Forest	million ha
Lan_Cov_Oth_Ara_Lan	Land Cover|Other Arable Land	million ha
Lan_Cov_Oth_Lan	Land Cover|Other Land	million ha
Lan_Cov_Oth_Nat_Lan	Land Cover|Other Natural Land	million ha
Lan_Cov_Pst	Land Cover|Pasture	million ha
Prc_Prm_Ene_Bio	Price|Primary Energy|Biomass	US$2010/GJ
Prc_Prm_Ene_Coa	Price|Primary Energy|Coal	US$2010/GJ
Prc_Prm_Ene_Gas	Price|Primary Energy|Gas	US$2010/GJ
Prc_Sec_Ene_Liq_Bio	Price|Secondary Energy|Liquids|Biomass	US$2010/GJ
Prc_Agr_NonEneCro_and_Liv_Ind	Price|Agriculture|Non-Energy Crops and Livestock|Index	Index (2005 = 1)
Prc_Agr_NonEneCro_Ind	Price|Agriculture|Non-Energy Crops|Index	Index (2005 = 1)
Prm_Ene_Bio_1st_Gen	Primary Energy|Biomass|1st Generation	EJ/yr
Prm_Ene_Bio_Ene_Cro	Primary Energy|Biomass|Energy Crops	EJ/yr
Prm_Ene_Bio_Oth	Primary Energy|Biomass|Other	EJ/yr
Prm_Ene_Bio_Rsd	Primary Energy|Biomass|Residues	EJ/yr
Prm_Ene_Bio_w_CCS	Primary Energy|Biomass|w/ CCS	EJ/yr
Prm_Ene_Bio_wo_CCS	Primary Energy|Biomass|w/o CCS	EJ/yr
Prm_Ene_Coa_w_CCS	Primary Energy|Coal|w/ CCS	EJ/yr
Prm_Ene_Coa_wo_CCS	Primary Energy|Coal|w/o CCS	EJ/yr
Prm_Ene_Gas_w_CCS	Primary Energy|Gas|w/ CCS	EJ/yr
Prm_Ene_Gas_wo_CCS	Primary Energy|Gas|w/o CCS	EJ/yr
Prm_Ene_Geo	Primary Energy|Geothermal	EJ/yr
Prm_Ene_Hyd	Primary Energy|Hydro	EJ/yr
Prm_Ene_Oce	Primary Energy|Ocean	EJ/yr
Prm_Ene_Oil_w_CCS	Primary Energy|Oil|w/ CCS	EJ/yr
Prm_Ene_Oil_wo_CCS	Primary Energy|Oil|w/o CCS	EJ/yr
Prm_Ene_Solar	Primary Energy|Solar	EJ/yr
Prm_Ene_Win	Primary Energy|Wind	EJ/yr
Sec_Ene_Ele_Bio_w_CCS	Secondary Energy|Electricity|Biomass|w/ CCS	EJ/yr
Sec_Ene_Ele_Bio_wo_CCS	Secondary Energy|Electricity|Biomass|w/o CCS	EJ/yr
Sec_Ene_Ele_Coa_w_CCS	Secondary Energy|Electricity|Coal|w/ CCS	EJ/yr
Sec_Ene_Ele_Coa_wo_CCS	Secondary Energy|Electricity|Coal|w/o CCS	EJ/yr
Sec_Ene_Ele_Gas_w_CCS	Secondary Energy|Electricity|Gas|w/ CCS	EJ/yr
Sec_Ene_Ele_Gas_wo_CCS	Secondary Energy|Electricity|Gas|w/o CCS	EJ/yr
Sec_Ene_Ele_Geo	Secondary Energy|Electricity|Geothermal	EJ/yr
Sec_Ene_Ele_Hyd	Secondary Energy|Electricity|Hydro	EJ/yr
Sec_Ene_Ele_Oil_w_CCS	Secondary Energy|Electricity|Oil|w/ CCS	EJ/yr
Sec_Ene_Ele_Oil_wo_CCS	Secondary Energy|Electricity|Oil|w/o CCS	EJ/yr
Sec_Ene_Ele_Solar	Secondary Energy|Electricity|Solar	EJ/yr
Sec_Ene_Ele_Win	Secondary Energy|Electricity|Wind	EJ/yr
Sec_Ene_Gas	Secondary Energy|Gases	EJ/yr
Sec_Ene_Heat	Secondary Energy|Heat	EJ/yr
Sec_Ene_Hyd	Secondary Energy|Hydrogen	EJ/yr
Sec_Ene_Liq_Bio	Secondary Energy|Liquids|Biomass	EJ/yr
Sec_Ene_Liq_Coa	Secondary Energy|Liquids|Coal	EJ/yr
Sec_Ene_Liq_Coa_w_CCS	Secondary Energy|Liquids|Coal|w/ CCS	EJ/yr
Sec_Ene_Liq_Coa_wo_CCS	Secondary Energy|Liquids|Coal|w/o CCS	EJ/yr
Sec_Ene_Liq_Fos	Secondary Energy|Liquids|Fossil	EJ/yr
Sec_Ene_Liq_Fos_w_CCS	Secondary Energy|Liquids|Fossil|w/ CCS	EJ/yr
Sec_Ene_Liq_Fos_wo_CCS	Secondary Energy|Liquids|Fossil|w/o CCS	EJ/yr
Sec_Ene_Liq_Gas	Secondary Energy|Liquids|Gas	EJ/yr
Sec_Ene_Liq_Gas_w_CCS	Secondary Energy|Liquids|Gas|w/ CCS	EJ/yr
Sec_Ene_Liq_Gas_wo_CCS	Secondary Energy|Liquids|Gas|w/o CCS	EJ/yr
Sec_Ene_Liq_Oil	Secondary Energy|Liquids|Oil	EJ/yr
Sec_Ene_Liq_Oth	Secondary Energy|Liquids|Other	EJ/yr
Sec_Ene_Solids	Secondary Energy|Solids	EJ/yr
Tem_Glo_Mea	Temperature|Global Mean	 C
Trd_Prm_Ene_Coa_Vol	Trade|Primary Energy|Coal|Volume	EJ/yr
Trd_Prm_Ene_Gas_Vol	Trade|Primary Energy|Gas|Volume	EJ/yr
Trd_Prm_Ene_Oil_Vol	Trade|Primary Energy|Oil|Volume	EJ/yr
Trd_Sec_Ene_Ele_Vol	Trade|Secondary Energy|Electricity|Volume	EJ/yr
Cnc_CH4	Concentration|CH4	ppb
Cnc_N2O	Concentration|N2O	ppb
Car_Seq_CCS_Bio	Carbon Sequestration|CCS|Biomass	Mt CO2/yr
Ene_Ser_Res_and_Com_Flo_Spa	Energy Service|Residential and Commercial|Floor Space	bn m2/yr
Ene_Ser_Tra_Fre	Energy Service|Transportation|Freight	bn tkm/yr
Ene_Ser_Tra_Pss	Energy Service|Transportation|Passenger	bn pkm/yr
Fin_Ene_Ind_SolidsBio	Final Energy|Industry|Solids|Biomass	EJ/yr
Fin_Ene_Ind_SolidsCoa	Final Energy|Industry|Solids|Coal	EJ/yr
Fin_Ene_Oth_Sec_Ele	Final Energy|Other Sector|Electricity	EJ/yr
Fin_Ene_Oth_Sec_Gas	Final Energy|Other Sector|Gases	EJ/yr
Fin_Ene_Oth_Sec_Heat	Final Energy|Other Sector|Heat	EJ/yr
Fin_Ene_Oth_Sec_Hyd	Final Energy|Other Sector|Hydrogen	EJ/yr
Fin_Ene_Oth_Sec_Liq	Final Energy|Other Sector|Liquids	EJ/yr
Fin_Ene_Oth_Sec_Oth	Final Energy|Other Sector|Other	EJ/yr
Fin_Ene_Oth_Sec_Solids	Final Energy|Other Sector|Solids	EJ/yr
Fin_Ene_Res_and_Com_SolidsBio	Final Energy|Residential and Commercial|Solids|Biomass	EJ/yr
Fin_Ene_Res_and_Com_SolidsCoa	Final Energy|Residential and Commercial|Solids|Coal	EJ/yr
Fin_Ene_Res_and_Com_Spa_Heating	Final Energy|Residential and Commercial|Space Heating	EJ/yr
Fin_Ene_SolidsBio	Final Energy|Solids|Biomass	EJ/yr
Fin_Ene_SolidsBio_Tra	Final Energy|Solids|Biomass|Traditional	EJ/yr
Fin_Ene_SolidsCoa	Final Energy|Solids|Coal	EJ/yr
Fin_Ene_Tra_Fre	Final Energy|Transportation|Freight	EJ/yr
Fin_Ene_Tra_Pss	Final Energy|Transportation|Passenger	EJ/yr
Frc_Aer	Forcing|Aerosol	W/m2
Frc_Aer_BC	Forcing|Aerosol|BC	W/m2
Frc_Aer_OC	Forcing|Aerosol|OC	W/m2
Frc_Aer_Oth	Forcing|Aerosol|Other	W/m2
Frc_Aer_Sul_Dir	Forcing|Aerosol|Sulfate Direct	W/m2
Frc_CH4	Forcing|CH4	W/m2
Frc_F_G	Forcing|F-Gases	W/m2
Frc_Kyo_Gas	Forcing|Kyoto Gases	W/m2
Frc_N2O	Forcing|N2O	W/m2
Frc_Oth	Forcing|Other	W/m2
Pop_Urb	Population|Urban	Million
Prm_Ene_Sec_Ene_Trd	Primary Energy|Secondary Energy Trade	EJ/yr
Res_Cum_Ext_Coa	Resource|Cumulative Extraction|Coal	EJ
Res_Cum_Ext_Gas	Resource|Cumulative Extraction|Gas	EJ
Res_Cum_Ext_Gas_Con	Resource|Cumulative Extraction|Gas|Conventional	EJ
Res_Cum_Ext_Gas_Unc	Resource|Cumulative Extraction|Gas|Unconventional	EJ
Res_Cum_Ext_Oil	Resource|Cumulative Extraction|Oil	EJ
Res_Cum_Ext_Oil_Con	Resource|Cumulative Extraction|Oil|Conventional	EJ
Res_Cum_Ext_Oil_Unc	Resource|Cumulative Extraction|Oil|Unconventional	EJ
Res_Cum_Ext_Ura	Resource|Cumulative Extraction|Uranium	ktU
Sec_Ene_Ele_Oce	Secondary Energy|Electricity|Ocean	EJ/yr
Sec_Ene_Ele_SolarCSP	Secondary Energy|Electricity|Solar|CSP	EJ/yr
Sec_Ene_Ele_SolarPV	Secondary Energy|Electricity|Solar|PV	EJ/yr
Sec_Ene_Ele_Win_Off	Secondary Energy|Electricity|Wind|Offshore	EJ/yr
Sec_Ene_Ele_Win_Ons	Secondary Energy|Electricity|Wind|Onshore	EJ/yr
Sec_Ene_Gas_Bio	Secondary Energy|Gases|Biomass	EJ/yr
Sec_Ene_Gas_Coa	Secondary Energy|Gases|Coal	EJ/yr
Sec_Ene_Gas_Nat_Gas	Secondary Energy|Gases|Natural Gas	EJ/yr
Sec_Ene_Gas_Oth	Secondary Energy|Gases|Other	EJ/yr
Sec_Ene_HeatBio	Secondary Energy|Heat|Biomass	EJ/yr
Sec_Ene_HeatCoa	Secondary Energy|Heat|Coal	EJ/yr
Sec_Ene_HeatGas	Secondary Energy|Heat|Gas	EJ/yr
Sec_Ene_HeatGeo	Secondary Energy|Heat|Geothermal	EJ/yr
Sec_Ene_HeatNuc	Secondary Energy|Heat|Nuclear	EJ/yr
Sec_Ene_HeatOil	Secondary Energy|Heat|Oil	EJ/yr
Sec_Ene_HeatOth	Secondary Energy|Heat|Other	EJ/yr
Sec_Ene_HeatSolar	Secondary Energy|Heat|Solar	EJ/yr
Sec_Ene_Hyd_Bio	Secondary Energy|Hydrogen|Biomass	EJ/yr
Sec_Ene_Hyd_Bio_w_CCS	Secondary Energy|Hydrogen|Biomass|w/ CCS	EJ/yr
Sec_Ene_Hyd_Bio_wo_CCS	Secondary Energy|Hydrogen|Biomass|w/o CCS	EJ/yr
Sec_Ene_Hyd_Coa	Secondary Energy|Hydrogen|Coal	EJ/yr
Sec_Ene_Hyd_Coa_w_CCS	Secondary Energy|Hydrogen|Coal|w/ CCS	EJ/yr
Sec_Ene_Hyd_Coa_wo_CCS	Secondary Energy|Hydrogen|Coal|w/o CCS	EJ/yr
Sec_Ene_Hyd_Ele	Secondary Energy|Hydrogen|Electricity	EJ/yr
Sec_Ene_Hyd_Gas	Secondary Energy|Hydrogen|Gas	EJ/yr
Sec_Ene_Hyd_Gas_w_CCS	Secondary Energy|Hydrogen|Gas|w/ CCS	EJ/yr
Sec_Ene_Hyd_Gas_wo_CCS	Secondary Energy|Hydrogen|Gas|w/o CCS	EJ/yr
Sec_Ene_Hyd_Nuc	Secondary Energy|Hydrogen|Nuclear	EJ/yr
Sec_Ene_Hyd_Oth	Secondary Energy|Hydrogen|Other	EJ/yr
Sec_Ene_Hyd_Solar	Secondary Energy|Hydrogen|Solar	EJ/yr
Sec_Ene_Liq_Bio_1st_Gen	Secondary Energy|Liquids|Biomass|1st Generation	EJ/yr
Sec_Ene_Liq_Bio_Ene_Cro	Secondary Energy|Liquids|Biomass|Energy Crops	EJ/yr
Sec_Ene_Liq_Bio_Oth	Secondary Energy|Liquids|Biomass|Other	EJ/yr
Sec_Ene_Liq_Bio_Rsd	Secondary Energy|Liquids|Biomass|Residues	EJ/yr
Sec_Ene_Liq_Bio_w_CCS	Secondary Energy|Liquids|Biomass|w/ CCS	EJ/yr
Sec_Ene_Liq_Bio_wo_CCS	Secondary Energy|Liquids|Biomass|w/o CCS	EJ/yr
Sec_Ene_SolidsBio	Secondary Energy|Solids|Biomass	EJ/yr
Sec_Ene_SolidsCoa	Secondary Energy|Solids|Coal	EJ/yr
Trd_All	Trade|All	billion US$2010/yr
Trd_Emi_All_Val	Trade|Emissions Allowances|Value	billion US$2010/yr
Trd_Emi_All_Vol	Trade|Emissions Allowances|Volume	Mt CO2-equiv/yr
Trd_Prm_Ene_Bio_Vol	Trade|Primary Energy|Biomass|Volume	EJ/yr
Trd_Sec_Ene_Solidsand_Liq_Bio_Vol	Trade|Secondary Energy|Solids and Liquids|Biomass|Volume	EJ/yr
Emi_GHG_Int_Tra_Sys	Emissions|GHG|International Trading System	Mt CO2-equiv/yr
Emi_Kyo_Gas	Emissions|Kyoto Gases	Mt CO2-equiv/yr
Emi_GHG_All_All	Emissions|GHG|Allowance Allocation	Mt CO2-equiv/yr
Sec_Ene	Secondary Energy	EJ/yr
Foo_Ene_Sup	Food Energy Supply	EJ/yr
Foo_Ene_Sup_Liv	Food Energy Supply|Livestock	EJ/yr
Lan_Cov_Frs_Man	Land Cover|Forest|Managed	million Ha/yr
Prm_Ene_Bio_Mod	Primary Energy|Biomass|Modern	EJ/yr
Prm_Ene_Bio_Tra	Primary Energy|Biomass|Traditional	EJ/yr
Yie_Cer	Yield|Cereal	t DM/ha/yr
Wat_Wit_Irr	Water Withdrawal|Irrigation	million m3/yr
Fer_Use_Nit	Fertilizer Use|Nitrogen	Tg N/yr
Fer_Use_Pho	Fertilizer Use|Phosphorus	Tg P/yr
Agr_Dem	Agricultural Demand	million t DM/yr
Agr_Dem_Foo	Agricultural Demand|Food	million t DM/yr
Agr_Dem_Cro_Foo	Agricultural Demand|Crops|Food	million t DM/yr
Agr_Dem_Liv_Foo	Agricultural Demand|Livestock|Food	million t DM/yr
Agr_Dem_Oth	Agricultural Demand|Other	million t DM/yr
Agr_Dem_Bio	Agricultural Demand|Bioenergy	million t DM/yr
Agr_Dem_Bio_1st_gen	Agricultural Demand|Bioenergy|1st generation	million t DM/yr
Agr_Dem_Bio_2nd_gen	Agricultural Demand|Bioenergy|2nd generation	million t DM/yr
Foo_Ene_Sup_Per_Cap	Food Energy Supply|Per Capita	kcal/cap/day
Foo_Ene_Sup_Cro_Per_Cap	Food Energy Supply|Crops|Per Capita	kcal/cap/day
Foo_Ene_Sup_Liv_Per_Cap	Food Energy Supply|Livestock|Per Capita	kcal/cap/day
Agr_Pro	Agricultural Production	million t DM/yr
Agr_Pro_Liv	Agricultural Production|Livestock	million t DM/yr
Agr_Pro_Cro_NonEne	Agricultural Production|Crops|Non-Energy	million t DM/yr
Agr_Pro_Cro_Ene	Agricultural Production|Crops|Energy	million t DM/yr
Agr_Pro_Rsd_Ene	Agricultural Production|Residues|Energy	million t DM/yr
Agr_Pro_Was_Ene	Agricultural Production|Waste|Energy	million t DM/yr
Frs_Pro_Frs_Rsd	Forestry Production|Forest Residues	million t DM/yr
Frs_Dem_Rou	Forestry Demand|Roundwood	million m3/yr
Frs_Dem_Rou_Woo_Fue	Forestry Demand|Roundwood|Wood Fuel	million m3/yr
Frs_Dem_Rou_Ind_Rou	Forestry Demand|Roundwood|Industrial Roundwood	million m3/yr
Frs_Pro_Rou	Forestry Production|Roundwood	million m3/yr
Frs_Pro_Rou_Woo_Fue	Forestry Production|Roundwood|Wood Fuel	million m3/yr
Frs_Pro_Rou_Ind_Rou	Forestry Production|Roundwood|Industrial Roundwood	million m3/yr
LCO_Ele_Coa_w_CCS	LCOE|Electricity|Coal|w/ CCS	US$2010/MWh
LCO_Ele_Coa_wo_CCS	LCOE|Electricity|Coal|w/o CCS	US$2010/MWh
LCO_Ele_Gas_w_CCS	LCOE|Electricity|Gas|w/ CCS	US$2010/MWh
LCO_Ele_Gas_wo_CCS	LCOE|Electricity|Gas|w/o CCS	US$2010/MWh
LCO_Ele_Nuc	LCOE|Electricity|Nuclear	US$2010/MWh
LCO_Ele_NonBioRen	LCOE|Electricity|Non-Biomass Renewables	US$2010/MWh
LCO_Ele_SolarMar	LCOE|Electricity|Solar|Marginal	US$2010/MWh
LCO_Ele_SolarAve	LCOE|Electricity|Solar|Average	US$2010/MWh
LCO_Ele_SolarCSP_Ave	LCOE|Electricity|Solar|CSP|Average	US$2010/MWh
LCO_Ele_SolarCSP_Mar	LCOE|Electricity|Solar|CSP|Marginal	US$2010/MWh
LCO_Ele_SolarPV_Ave	LCOE|Electricity|Solar|PV|Average	US$2010/MWh
LCO_Ele_SolarPV_Mar	LCOE|Electricity|Solar|PV|Marginal	US$2010/MWh
LCO_Ele_Win_Mar	LCOE|Electricity|Wind|Marginal	US$2010/MWh
LCO_Ele_Win_Ave	LCOE|Electricity|Wind|Average	US$2010/MWh
LCO_Ele_Win_Ons_Mar	LCOE|Electricity|Wind|Onshore|Marginal	US$2010/MWh
LCO_Ele_Win_Ons_Ave	LCOE|Electricity|Wind|Onshore|Average	US$2010/MWh
LCO_Ele_Win_Off_Mar	LCOE|Electricity|Wind|Offshore|Marginal	US$2010/MWh
LCO_Ele_Win_Off_Ave	LCOE|Electricity|Wind|Offshore|Average	US$2010/MWh
LCO_Ele_Bio_w_CCS	LCOE|Electricity|Biomass|w/ CCS	US$2010/MWh
LCO_Ele_Bio_wo_CCS	LCOE|Electricity|Biomass|w/o CCS	US$2010/MWh
Ful_LCO_Ele_Coa_w_CCS	Full LCOE|Electricity|Coal|w/ CCS	US$2010/MWh
Ful_LCO_Ele_Coa_wo_CCS	Full LCOE|Electricity|Coal|w/o CCS	US$2010/MWh
Ful_LCO_Ele_Gas_w_CCS	Full LCOE|Electricity|Gas|w/ CCS	US$2010/MWh
Ful_LCO_Ele_Gas_wo_CCS	Full LCOE|Electricity|Gas|w/o CCS	US$2010/MWh
Ful_LCO_Ele_Nuc	Full LCOE|Electricity|Nuclear	US$2010/MWh
Ful_LCO_Ele_NonBioRen	Full LCOE|Electricity|Non-Biomass Renewables	US$2010/MWh
Ful_LCO_Ele_SolarMar	Full LCOE|Electricity|Solar|Marginal	US$2010/MWh
Ful_LCO_Ele_SolarAve	Full LCOE|Electricity|Solar|Average	US$2010/MWh
Ful_LCO_Ele_SolarCSP_Ave	Full LCOE|Electricity|Solar|CSP|Average	US$2010/MWh
Ful_LCO_Ele_SolarCSP_Mar	Full LCOE|Electricity|Solar|CSP|Marginal	US$2010/MWh
Ful_LCO_Ele_SolarPV_Ave	Full LCOE|Electricity|Solar|PV|Average	US$2010/MWh
Ful_LCO_Ele_SolarPV_Mar	Full LCOE|Electricity|Solar|PV|Marginal	US$2010/MWh
Ful_LCO_Ele_Win_Mar	Full LCOE|Electricity|Wind|Marginal	US$2010/MWh
Ful_LCO_Ele_Win_Ave	Full LCOE|Electricity|Wind|Average	US$2010/MWh
Ful_LCO_Ele_Win_Ons_Mar	Full LCOE|Electricity|Wind|Onshore|Marginal	US$2010/MWh
Ful_LCO_Ele_Win_Ons_Ave	Full LCOE|Electricity|Wind|Onshore|Average	US$2010/MWh
Ful_LCO_Ele_Win_Off_Mar	Full LCOE|Electricity|Wind|Offshore|Marginal	US$2010/MWh
Ful_LCO_Ele_Win_Off_Ave	Full LCOE|Electricity|Wind|Offshore|Average	US$2010/MWh
Ful_LCO_Ele_Bio_w_CCS	Full LCOE|Electricity|Biomass|w/ CCS	US$2010/MWh
Ful_LCO_Ele_Bio_wo_CCS	Full LCOE|Electricity|Biomass|w/o CCS	US$2010/MWh
Cap_Ele	Capacity|Electricity	GW
Cap_Ele_Hyd	Capacity|Electricity|Hydro	GW
Cap_Ele_SolarCSP	Capacity|Electricity|Solar|CSP	GW
Cap_Ele_SolarPV	Capacity|Electricity|Solar|PV	GW
Cap_Ele_Win	Capacity|Electricity|Wind	GW
Cap_Ele_Win_Off	Capacity|Electricity|Wind|Offshore	GW
Cap_Ele_Win_Ons	Capacity|Electricity|Wind|Onshore	GW
Cap_Ele_Solar	Capacity|Electricity|Solar	GW
Cap_Ele_Coa	Capacity|Electricity|Coal	GW
Cap_Ele_Coa_w_CCS	Capacity|Electricity|Coal|w/ CCS	GW
Cap_Ele_Coa_wo_CCS	Capacity|Electricity|Coal|w/o CCS	GW
Cap_Ele_Gas	Capacity|Electricity|Gas	GW
Cap_Ele_Gas_w_CCS	Capacity|Electricity|Gas|w/ CCS	GW
Cap_Ele_Gas_wo_CCS	Capacity|Electricity|Gas|w/o CCS	GW
Cap_Ele_Gas_CC_w_CCS	Capacity|Electricity|Gas|CC|w/ CCS	GW
Cap_Ele_Gas_CC_wo_CCS	Capacity|Electricity|Gas|CC|w/o CCS	GW
Cap_Ele_Gas_CT_w_CCS	Capacity|Electricity|Gas|CT|w/ CCS	GW
Cap_Ele_Gas_CT_wo_CCS	Capacity|Electricity|Gas|CT|w/o CCS	GW
Cap_Ele_Bio	Capacity|Electricity|Biomass	GW
Cap_Ele_Bio_w_CCS	Capacity|Electricity|Biomass|w/ CCS	GW
Cap_Ele_Bio_wo_CCS	Capacity|Electricity|Biomass|w/o CCS	GW
Cap_Ele_Sto	Capacity|Electricity|Storage	GW
